description,skills,status
"Awakening and first contact with the design tools related to industrial design. Discovery of the elements of design such as: visual communication, creative making and thinking, discovery of basic shapes and forms, rational analysis of existing products. This course is also the opportunity for the students to start to plan and manage various parameters such as design variables and constrains, economy of means and time.",,pending
Design Fundamentals 2 reinforce semester 1 through exercises of higher complexity. The students have to deal with more elaborate parameters such as ergonomic factors of one hand-held product. They are also confronted for the first time structural issues and communication procedures. In continuity from fundamental 1 they pursue and refine their analytical approaches of existing products. Students learn the design methods of emotional addressing for products and set fundamentals of the design process which will be further developed during the course.,,pending
"The course provides the initial understanding of model making for industrial design. Model making techniques related to metals, wood, and plastics will be undertaken. Safety and security issues will also be addressed. Students are required to do model making exercises to develop different skills as part of the design process. This course is to support the design core courses in order to provide sufficient practical basis for their future design projects.",,pending
"This course introduces basic model-making techniques using various material and hands-on processes, and sketching with traditional tools of pen/pencil and paper. Modelling workshops incorporate fundamental form studies through a series of iterations and refinements. Students will develop value judgement while resolving multiple design elements. In addition to the understanding of material properties, the course aims to cultivate an appreciation for precision and finishing. Through weekly sketching assignments, students are taught the fundamentals of sketching which include perspective, the concept of draw through as well as architecture handwriting.",,pending
"In Design Fundamentals, students acquire fundamental knowledge, skills and aptitudes in industrial design. This is achieved with a succession of small-scaled design challenges that focus on specific areas of learning in detail.",,pending
"This course introduces students to the fundamental principles, methods, and applications of Human-Centred Design (HCD), a problem-solving approach that prioritises empathy, creativity, and iterative problem-solving to address complex challenges. Drawing from interdisciplinary practices, students will learn how to design innovative solutions by deeply understanding user needs and incorporating their perspectives throughout the design process. Through hands-on practices and case studies, students will develop core competencies in empathic research and encouraging students to refine their ideas based on user feedback. By the end of the course, students will gain a foundational understanding of how HCD can be applied across various interdisciplinary domains to address real-world issues.",,pending
This course serves to introduce students to the development of thoughts and ideas in industrial and product design. It will enable students to relate recent history in technological advancement and product development to current trends in design. The course will concentrate on the design innovations from the period of the industrial revolution in the 19th century. This was the transitional period from the Arts and Craft movement to the current design and production methods that are dominated by industrial processes.,,pending
"This course serves as workshop and safety induction for students using the prototyping facilities at the Division of Industrial Design. It introduces theories and practical exercises of translating a design on paper to physical objects through digital design tools and fabrication techniques. Students will be equipped with relevant skills and knowledge in working with various workshop fabrication machineries & equipment such as 3D printing and CNC, and various digital design software.",,pending
"The objective of this course is to introduce students to the materials that are commonly used in the manufacture and fabrication of products. It will enable students to acquire basic knowledge on the properties and performance of materials and enable them to select materials for specific design applications. Major topics will include materials for products such as tableware, furniture, household appliances, light fittings, computer equipment, motor vehicles etc. It will briefly cover the manufacturing and fabrication processes associated with the materials and application.",,pending
"This course introduces students to the fundamental principles and techniques of visual communication. It explores how visual elements can be effectively used to convey messages, evoke emotions, structure narratives, and engage audiences. Students will develop a strong understanding of visual literacy and learn how to create compelling visual content for various purposes. Through hands-on exercises and projects, students will develop the skills to create effective and engaging visual communication materials utilising the core principles of design, color theory, typography, and visual storytelling.",,pending
"This course will focus the study of design issues related to the context of technological developments and the need for connectivity. The course will deal with issues pertaining to communication systems, and the development of industrial products to serve the urban community. It will discuss the importance of modern technology and concepts related to connectivity. It will introduce basic research methodology on design and development for the understanding of the design process as part of the course requirement.",,pending
"As a progression from the design fundamentals, this module aggregates all the prior lessons into one complete, coherent, industrially-relevant project where students learn to manage, and go through the whole process of 1) initial design research and market research, to 2) formulating the design strategy and 3) design brief, through to 4) conceptualization, 5) evaluation phases, and 6) detailing and refinement. The design is aimed for a specific context which includes specific users, market scenarios, environments, trends, business / competition, and feasibility / manufacturing factors. Critical consideration for sustainability factors is incorporated as part of the context criteria.",,pending
"This is a “vertical studio” based design platform. Senior and junior students will participate in design projects which encourage cross-pollination of thoughts, skills and learning. The students will play the role of a junior designer and work together with the senior students from ID 3106 in the same platform. The objectives are to enable students to explore strategic design innovation through a simulated real studio environment. In this platform, students can select either conceptual or real-life projects led by our industry collaborators and relevant experts within the division.",,pending
"This is a “vertical format” based design studio platform. Senior and junior students will participate in design projects which encourage cross-pollination of thoughts, skills and learning. The objectives are to enable students to explore strategic design innovation through a simulated real studio environment. In the platforms, students can select either conceptual or real-life projects led by our industry collaborators and relevant experts within the division.",,pending
"The course aims to give students a practical understanding on the use Computer Aided Industrial Design (CAID) for design. This will include conceptual design with technical constraints to final rendering of the designed product. It will allow the student greater understanding of the verification tools by using it to assist in executing design decisions. Learning process will deal with theories and methods for constructive modeling, detailing, rendering and presentation, from simple curves and primitives to complex surfaces. Topics discussed will include Point, Line, Plane, 2-D and 3-D Surfaces, Solids, Colour and Texture and application of Lighting and as well as Basic Animation.",,pending
"Students are brought beyond foundational usage of CAD tools for design visualization and construction. Three areas covered are: Advanced Surfacing, Parametric & Generative CAD Modelling, and Digital Manufacturing. Advanced Surfacing covers principles and methods to craft high precision, manufacturing-quality CAD models with complex, continuous organic surfaces that are water-tight. Parametric & Generative CAD teaches programming and algorithm-scripting-based methods to digitally generate and control 3D geometry. Digital Manufacturing introduces methods to translate 3D data to produce physical objects via digital manufacturing equipment. Students are expected to gain an operationally-ready level of mastery through hands-on experimentation in projects for all three areas.",,pending
"This course introduces students to the theories and practice of visual communications design. It will enable students to communicate ideas or messages to their desired audiences through various visual media, be it a sign, poster, drawing, photograph, wayfinding, publication, or advertisement. Major topics include visual thinking and literacy, typography, data visualisation, communication theory, designing with Adobe illustrator and InDesign.",,pending
"This course introduces students to the wood-working processes through the fabrication of a small solid wood product and furniture based on standardized designs. The syllabus covers instructional demonstrations on the use of manual hand tools, power tools and workshop machines; with ample time for practical work in completing two well-finished prototypes. In addition, students will also gain an understanding on the different types of wood and the appreciation for grain patterns and good finishing. Expenses for timber material and delivery charges of approximately S$150 will be borne by individual student participating in the workshop.",,pending
"The course is designed for individuals who want to improve their visual communication skills and stimulate creative thinking. Through hands-on practice, students are taught how to use the stylus and tablet to create sketches and paintings in Photoshop. Major topics include: Dynamic sketching; Introduction to stylus, tablet and Photoshop; Understanding and applying values and light; Rendering with colour; Silhouetting for ideation; Layout for presentation. Students are expected to do weekly assignments and apply what they have learnt in two main projects.",,pending
"This course introduces the elements of computational thinking and its application in Industrial Design. Students will acquire skills and knowledge of computational problem solving, including formulating a problem, designing a solution, and prototyping the solution in the use of computational tools, logic and methods such as the Arduino Integrated Development Environment. Students learn through a hands-on approach to decompose complex problems into smaller components, solve the smaller components using elemental algorithms, and combine the solutions to solve the task at hand. They will learn the concepts of abstraction, how to encapsulate complex data and behavior into objects through object-oriented programming.",,pending
"This course introduces students to the world of imaginative sketching. Mind-provoking exercises engage creativity and helps one find the extraordinary in unexpected places. Students will gain confidence and skills in expressing their ideas visually, regardless of their drawing level. Major topics include Line Walking exercise, Class Portraits, Left-Hand sketch, Blind Contours and Rorschach sketch.",,pending
"This course breaks down everything a professional photographer uses to bring products to life in a photo. Students will learn the basics in framing, shooting, lighting, setting up, and post-processing to accurately represent products in an image. It will enable the students to express these ideas and more through the tools and techniques of photography. Through practical activities, students will then dive into the different styles of photography. * Module Requirements Students must bring their own camera (DSLR or compact with manual exposure modes) and SD card, bring a laptop with Adobe Photoshop installed, and a tripod is highly recommended.",,pending
"This course will introduce students to the important principles that guide visual storytelling by applying a variety of information design principles, visualization patterns, typographic arrangements, and graphics to communicate concepts in a clear and compelling manner. Students will examine how to appropriately craft visual stories for their intended audience, in both a static (print) and time-based (digital media) context.",,pending
"This course introduces students to social design approaches that address societal challenges through empathy, inclusivity, and sustainability. Key frameworks include co-creation, participatory design, systems thinking, and design for social utility, which guide the development of effective, community-driven solutions. Students will actively engage in community engagement, prototyping, and cross-cultural communication through practical projects and real-world case studies.",,pending
The objective of this course is to provide practice for students to understand Ecodesign and Sustainability and its affects on design practice. It will study the design methods related to Ecodesign and Sustainable design and its applications. Project work will be conducted to provide the bridge to integrate such theoretical knowledge into practice.,,pending
"In this course, students will gain knowledge of design process and research methodology. The objective of this course is to learn the process involved in a typical design project as well as its associated design and research methods.",,pending
"The course introduces a new perspective in design. It makes active use of theories from psychology to understand and change human behaviours. It often starts by looking more closely into problematic behaviours, such as smoking and excessive use of mobile phones, with the objective to effectively change these behaviours. The behavioural change comes through the design of interventions. These interventions can consist of combinations of products, services, environments, and systems. There are obvious benefits of this approach to individuals (e.g. health and wellbeing) and society (e.g. sustainability, costs of healthcare). In this course, particular attention will be paid to designing interventions for healthy lifestyles. This includes the theoretical concept of flourishing and its potential to be used in design. Flourishing directly impacts mental health and happiness. Furthermore, theories from social psychology underpin the understanding of the behaviours of the actors in design teams. This is often referred to as team dynamics. With the increasing role of designers as facilitators in multi-disciplinary teams, it is important for designers to be able to understand the behaviours of team players and to be able to anticipate and respond as a facilitator to achieve the best design outcomes from the team.",,pending
"This course builds foundational confidence in NURBS-based 3D CAD, by providing firstly, a habit-forming, hands-on learning experience for the most essential precision controls for line and curve creation, spatial movement, and dimensioning. Secondly, a focused dive into the most important surface creation tool—the curve network—which undergirds most other types of surface creation methods in NURBS, enables learners to build most 3D CAD models of hard-surface products with precision and control. With these concepts demystified and practiced, students gain the foundation to continually self-learn additional functions in CAD without being overwhelmed by confusion. Taught using Rhino3D, the concepts are transferrable to other NURBS-based CAD platforms.",,pending
"The objective of this course is to introduce students to the materials that are commonly used in the manufacture and fabrication of products. It will enable students to acquire knowledge on the properties and performance of materials and enable them to select materials for specific design applications. The course will also introduce contemporary, designerly approaches to material and production, from high tech composite materials, to novel one-off or batch production techniques invented by designer-makers. Knowledge of production processes associated with materials and its appropriate applications is a required skill for any designer involved in the design of products such as consumer electronics, domestic appliances, kitchen wares, furniture, lighting, and packaging. Students are expected to gain an operationally-ready level of mastery through hands-on experimentation and visits to industry practices. This course will train students with practical know-how on engineering materials and the production processes used in mass manufacturing and small scale production. It will present guidelines to assist the designer in selecting the most appropriate materials and manufacturing methods for a given purpose or application. At the end of the course, students should gain sufficient knowledge in various materials and manufacturing technologies so as to be able to communicate effectively with production engineers to materialise their design concept.",,pending
"This course is specially designed for BA Industrial Design students. This course discusses the physics behind the ordinary objects and natural phenomena all around us. It unravels the mysteries of how things work. From the household appliances that make our lives easier, vehicles that we travel in and to the audio/visual players fill our world with sounds and images.",,pending
"This course is specially designed for BA Industrial Design students. This course takes the complicated stuff out of understanding how things are made. Using simple illustration as a medium to describe production processes, this course covers a broad range of production methods with descriptive text, diagrams, product shots, and pictures of the manufacturing process. It appeals to product designers involved in consumer electronics, domestic appliances, kitchen wares, furniture, lighting, and packaging.",,pending
"This is a one semester involvement for attachment to industry or other institutions of design, research and development work.",,pending
"This course will emphasise the integrative nature of design. It will enable students to understand how technology should be applied to design and production. The course will focus on projects that require consideration for realism imposed by functional and technical constraints. The course will also emphasise the need for a rationalised design process that serves to comprehensively evaluate design ideas, concepts and intentions in the learning of design development. Targeted Students - Industrial design students.",,pending
This course will focus on the issues related to culture and identity and the design outcomes that may be generated. The course will require students to acquire an understanding of the history and culture of people and place. It will include the study of traditions and symbolism associated with distinct communities of people. This course is planned to essentially provide overseas and exchange students with the opportunity to study design within the cultural context of Southeast Asia. Targeted Students - Industrial design students.,,pending
"This course reinforces Design Platforms 1 through exercises of higher complexity. This is a “vertical studio” based design platform. Senior and junior students will participate in design projects which encourage cross-pollination of thoughts, skills and learning. The students will play the role of a junior designer and work together with the senior students from ID 4105 in the same platform. The objectives are to enable students to explore strategic design innovation through a simulated real studio environment. In this platform, students can select either conceptual or real-life projects led by our industry collaborators and relevant experts within the division.",,pending
"This course works with Design Platforms 1 in “vertical studios” context. Senior and junior students will participate in design projects which encourage cross-pollination of thoughts, skills and learning. The students will play the role of a senior designer and work together with the junior students from ID 2106 in the same platform. The objectives are to enable students to explore strategic design innovation through a simulated real studio environment. In this platform, students can select either conceptual or real-life projects led by our industry collaborators and relevant experts within the division.",,pending
"This course explores design as a cultural product of the modern economy, technology and society. It looks critically at how the profession and its work are shaped by these larger contexts as well as how it impacts them too. While rooted in theories from around the world, the course will apply them to the context of Singapore and the region.",,pending
"The aims of the course are for the students to: Develop appreciation and understanding of the strategic innovation roles of industrial design in commercial new product development (NPD). Develop knowledge of brand and branding in relation to commercial NPD. Develop abilities to exploit research insights, and brand understanding, within strategic NPD innovation activities.",,pending
"Interaction designers discover people’s needs, understand the context of use, frame product opportunities; and propose useful, usable, and desirable (usually digital) products. Interaction designers often work with narrative to explore and refine desired behaviors and user experience. This course will engage students with the fundamentals of interaction design and applied interaction design methods, to shape behaviour between people and products, services and environments.",,pending
This course provides a means to discover and develop skills in constructing and delivering written and spoken presentations and reports. It is aimed at achieving oral and written proficiency thru critical analysis and practices.,,pending
"This course looks at how colours, materials & finishing (CMF) is applied in the design industry, in particular to consumer products. Students will learn how to rationalise the best choice of colours and materials to engage the user. They will be able to objectify how the colours, materials and finishing that strongly link to the context of the design.",,pending
"This course introduces students to the theories and practice of time-based media and motion graphics communication. It will enable students to express ideas and messages through kinetics, time, and sequence using various techniques of graphic design and illustration integrated with motion aesthetics, animation principles, sound, and editing. Major topics include narrative and story development, dynamic graphic visualisation, motion aesthetics, audio editing, and typography, utilising with Adobe After Effects, Photoshop, and Illustrator.",,pending
"As industries continually evolve due to technological advancements, digitalization and globalization; students are increasingly required to adapt, unlearn and relearn within complex and ambiguous settings. This course aims to simulate what working in transdisciplinary teams will be like, and to equip students with the necessary skills to deal with real-life challenges through experiential learning. Students from various disciplines will come together to solve an industry/ societal challenge, leveraging on design-driven methods and the collective knowledge/ skillsets of the team. Students are expected to actively participate in contact sessions and commit to project work (including preparatory hours outside of contact sessions).",,pending
"Electronic Media and Production will cover a broad combination of creative and authoring techniques. Students will learn how to design and create communication and 2D and 3D graphics using a range of digital platforms, commonly used in professional practice. Students will learn efficient workflows commonly used in professional practice and how to select the appropriate tool for a specific visual output, enabling the student designer to bring their concepts into reality. The focus will be placed on the development of images and how they are best applied in certain application spaces. This is supported by the use of commonly used professional software and their seamless integration from one tool to the next. The combination and application of these electronic media tools will support page layouts, photo and image editing, colour renditions, drawing, 2D ad 3D graphics, and graphic translation.",,pending
"This course examines how visual communication designers use icons, symbols, and signs to communicate meaning systematically and how they are interpreted by the public. Students will learn how these elements create distinct visual languages and apply them through a range of applications from brand experiences to wayfinding. Concepts will be reinforced with basic visual communication principles that include gestalt, form studies, and context.",,pending
"In this course, students will learn how to perceive and conceive brand languages. This is done in the context of corporate or personal branding. The objective is to correlate this to storytelling, as effective brand communication does this through consistency and purposefulness. The course will place emphasis on the impact of a brand’s design language and how audiences perceive and experience through this language. As an introductory course, focus will be placed on the application of basic principles of visual design in brand building which includes a wide range of concepts, executed via the integration of graphics design tools commonly used in professional practice. The course will also teach students other ephemeral aspects of branding which includes sensorial design that are oftentimes neglected when creating a brand narrative.",,pending
"This course provides an overview of User Interface (UI) and User Experience (UX) design principles and methodologies. Students will be provided grounding in the principles of human-computer interaction, user research, and design thinking as applied to mobile, desktop, and emerging tangible user interfaces. The course will culminate in a group project where students will design and prototype a user-centered solution for a real-world problem.",,pending
"Digital Creation and Production will cover a broad combination of creative and authoring techniques. Students will learn how to design and create communication and 2D and 3D graphics using a range of digital platforms, commonly used in professional practice. Students will learn efficient workflows commonly used in professional practice and how to select the appropriate tool for a specific visual output, enabling the student designer to bring their concepts into reality. The focus will be placed on the development of images and how they are best applied in certain application spaces. This is supported by the use of commonly used professional software and their seamless integration from one tool to the next. The combination and application of these electronic media tools will support page layouts, photo and image editing, colour renditions, drawing, 2D and 3D graphics, and graphic translation.",,pending
"The objective of this course is to focus students on documentation, detailing of production drawings and specifications. It will enable students to understand design implications in anticipation of the manufacturing process and production. Major topics will emphasize detailing from the design point of view. It will include drawing conventions, specification writing, knowledge of national standards in industry and current mass production practice.",,pending
"This course works with Design Platforms 2 in “vertical studios” context. Senior and junior students will participate in design projects which encourage cross-pollination of thoughts, skills and learning. The students will play the role of a senior designer and work together with the junior students from ID 3105 in the same platform. The objectives are to enable students to explore strategic design innovation through a simulated real studio environment. In this platform, students can select either conceptual or real-life projects led by our industry collaborators and relevant experts within the division.",,pending
The objective of this course is to provide students with the opportunity to demonstrate their design ability by the execution of a Major Design Project. Research and investigation on project development will be used to support the design. The major topic is a comprehensive design project that is supported by research. Documentation of research findings will form part of the project submission. Students will be required to demonstrate innovation and competency in industrial design.,,pending
"The objective of this course is to learn the methods involved in design research in order to investigate into opportunities that support the Design Thesis Project. It will involve market studies and analysis of current developments to surface opportunities for a project. The major topics will include research methodology, project planning techniques, information search and documentation, product analysis and evaluation and selection process for design development. The results of this study will lead to the rational selection of a project for design and development under Design Thesis Project.",,pending
"This course provides a yearly-updated, felicitous palette of the most relevant soft skills and emerging technical knowledge relating to Design Entrepreneurship and Creative Leadership. It is taught through a selection of industry and faculty-led workshops: 6-8 standalone workshops conducted over 13 weeks, each with their own assessment tasks. These workshops are curated yearly by learner demand, faculty-judgement, and industry advice through the Division’s industry networks. Students can expect exposure to emergent thinking in the way design businesses are structured and conducted, pick up technical skills for creativity, and receive training in soft skills for leadership in the creative industries.",,pending
"This course introduces creative computing through the lens of computer graphics, exploring how computation and algorithms can be both tools and subjects of creative expression. Students will learn practical programming concepts by examining how 2D and 3D forms emerge from algorithmic rules, and how artificial behaviors can be defined programmatically. Topics will be approached through foundational theories and classic algorithms, followed by investigating their applications in simulators, game engines, procedural systems, and interactive animation.",,pending
"Emerging spatial computing platforms offer an entirely new way of experiencing digital content in a user's three-dimensional space. Such applications often draw heavily upon equally new models from artificial intelligence to enable such interactions that blend the digital and physical worlds. Through hands-on projects, this course will give students both the technical and creative skills required to enter a burgeoning technology sector. Students will be prepared to take on roles across augmented reality (AR), virtual reality (VR), mixed reality (MR), and spatial computing platforms, including but not limited to Apple Vision Pro.",,pending
"This course introduces first year engineering students to what engineers do and to the engineer's thought process. This is a two-part course: Industrial and Systems Engineering Principles and Practice (EPP) I and II. Real Industrial and Systems Engineering systems will be used to show how engineers use this discipline of engineering to design, make and test systems. Through grasping engineering fundamentals, students learn how engineering systems work and fail (EPP I). Through learning of real systems, students learn how multi-disciplinary concepts are tied together (EPP II). The students will also learn basic design, experimentation and evaluation of engineering systems.",,pending
"This course introduces first year industrial and systems engineering students to various problems in this field and how they can be analysed and tackled through mathematical modelling, data analytics, simulation and quantitative decision making. By working on a series of carefully curated problems, students gain an appreciation for the challenges faced when tackling large complex problems under uncertainty and the role that data can play in addressing them.",,pending
"This module introduces first year engineering students to what engineers do and to the engineer's thought process. This is a two-part module: Industrial and Systems Engineering Principles and Practice (EPP) I and II. Real engineering systems will be used to show how engineers use different disciplines of engineering, and combine them to design, make and test systems. Through grasping engineering fundamentals, students learn how engineering systems work and fail (EPP I). Through learning of real systems, students learn how multi-disciplinary concepts are tied together (EPP II). The students will also learn basic design, experimentation and evaluation of engineering systems.",,pending
"This course introduces first year engineering students to what engineers do and to the engineer's thought process in industrial, systems engineering and management. Real engineering systems will be used to show how engineers use different disciplines of engineering, and combine them to design, make and test systems. Through grasping engineering fundamentals, students learn how engineering systems work and fail. Through learning of real systems, students learn how multi-disciplinary concepts are tied together. The students will also learn basic design, experimentation and evaluation of engineering systems.",,pending
The course builds upon the foundation in ST2334 and stresses on applications of stochastic modeling. Topics include: Review of basic probability and random variables; Conditional probability and conditional expectation; Discrete time Markov chains; Poisson process; Continuous time Markov chains; Basics in queuing theory and Basics renewal processes. Students will eventually be conversant with the properties of these models and appreciate their roles in engineering applications.,,pending
"This foundation course introduces students to some of the basic concepts of operations research. Topics include linear programming, network flow models, and nonlinear programming. Besides the basic concepts, students will also learn about the applications of these topics to complex engineering and management problems.",,pending
"This course introduces the principles and practice of engineering economics and financial decision making faced by engineers. Students will learn how to deal with the financial and economic aspects in the design, evaluation and management of engineering systems involving capital investments and cash flows over time. Topics covered include principles and practice of cash flow analysis, decision making involving single and multiple alternatives, depreciation of capital assets and after-tax project cash-flow analysis, replacement analysis of capital assets, and dealing with risk and uncertainty. Case studies and computational tools will be used to model, analyse and solve complex problems effectively.",,pending
"This course introduces students to the fundamental concepts of quality and basic techniques in quality engineering. The topics covered are measures and interpretation of variation, control charts, process capability analysis, and acceptance sampling. The course will also deal with some related issues such as measurement systems analysis, PDCA, TQM, and industrial case studies. At the end of the course, students will be able to understand the basic concepts of quality and use the basic tools in quality analysis.",,pending
"This course introduces the concept of ""the time-value of money"" and the effect that it has on economic decisions in engineering and business. It equips students with a conceptual framework for understanding and evaluating economic alternatives represented as a set of cash flows over time. Topics covered include cash flow analysis, choice among economic alternatives, effects of depreciation and taxation, replacement analysis, and dealing with risk and uncertainty.",,pending
"The course aims to introduce students to the fundamental concepts and underlying principles of system thinking, design and dynamics. It will provide students with an understanding of systems thinking and applying systems dynamics modelling to describe and simulate real world problems. At the end of the course, students should have the necessary knowledge and abilities to define, analyse, design, and develop a system dynamics model that simulates a specific problem and recommend solutions for different scenarios.",,pending
"This course is designed to provide students with hands-on knowledge and understanding of the diverse socio-cultural economic-political-business environments of one of the fastest evolving regions of the world – North Asia. In addition, students will be exposed to issues such as the challenges and constraints companies face in setting up and running operations in specific areas within this region, and learn the key drivers and best practices the companies adopt in their business operations in these areas.",,pending
"Systems Design Project (SDP) allows students to achieve experiential learning outcomes based on industry-sponsored problems. In teams, students work with the industry and department advisors to study, formulate and analyze the problem to recommend, implement and validate a practical design solution with good results. Students learn how to apply their ISE and technical knowledge in the proper context. Various oral and written communication skills are improved for successful project management and delivery. Intangible attributes like working together, working with uncertainty and deadlines with professionalism are also inculcated.",,pending
"This course deals with the foundation and applications of statistical inference. Topics include review of statistical decision making, point estimation, hypothesis testing, ANOVA with homogeneity of variance tests, concepts of blocking, linear and non-linear regression, and an introduction to bootstrapping. Students will be able to recognise the impact of limited information, appreciate the importance of tool selection, and to conduct and evaluate simple experiments.",,pending
"This systems engineering project requires a student to study, formulate and analyse problems using systems engineering tools and methodologies. The student is also expected to develop alternate solutions based on requirements and tradeoffs and verify them in meeting the requirements through testing and evaluation. It provides an opportunity for students to gain practical experience for industry-type projects. They will also develop communication skills in technical report writing, oral presentations and project management.",,pending
"This systems engineering project requires a student to study, formulate and analyze problems using systems engineering tools and methodologies. The student is also expected to develop alternate solutions based on requirements and tradeoffs and verify them in meeting the requirements through testing and evaluation. It provides an opportunity for students to gain practical experience for industry-type projects. They will also develop communication skills in technical report writing, oral presentations and project management.",,pending
"This foundation course aims to introduce students to the fundamental concepts and underlying principles of systems engineering, including systems thinking, as well as the design and management of complex systems. The topics in this course include introductory concepts like system structure and boundary, complexity and system archetypes, system design process and management, system dynamics and system economic evaluation. The instruction will be supplemented with case studies and also seminars by academic and industrial practitioners.",,pending
"This course introduces students to the basic concepts of discrete-event simulation systems and application to problems that have no closed-form solutions. The course will cover modeling techniques, random number generators, discrete-event simulation approaches, simulated data analysis, simulation variance reduction techniques and state-of-the-art simulation software. At the end of this course, students will be able to analyze and develop simulation models of given problems.",,pending
"This course introduces students to the basic concepts of discrete-event simulation systems and application to problems that have no closed-form solutions. The course will cover modeling techniques, random number generators, discrete-event simulation approaches, simulated data analysis, simulation variance reduction techniques and state-of-the-art simulation software. At the end of this course, students will be able to analyse and develop simulation models of given problems.",,pending
"This course introduces the basic concepts and techniques of planning, design and operations within a facility. The coverage will include forecasting techniques, aggregate planning, inventory management, material requirements planning, process planning, production systems and operations scheduling. This course aims to convey the intuitions behind many manufacturing logistics concepts and to demonstrate the application of operations research techniques to this area.",,pending
"This course introduces concepts in human factors engineering and ergonomics. The topics that will be covered include: Human factors and systems; Human factors research methodologies; Information input and processing; Visual and auditory displays; Human output and control; Motor skills and hand tools; Anthropometry and workplace design; Environmental conditions of illumination, and Climate and noise. The objectives are to provide students with a broad overview of the application areas and an appreciation of the need for human factors engineers.",,pending
"The objective of the course is to give students exposure to research. In this course, each student is assigned to a research project that requires application of industrial and systems engineering concepts. The course provides the opportunity for students to conduct self study by reviewing literature, defining a problem, analyzing the problem critically, conducting design of experiments, and recommending solutions. It also enables students to improve their communication skills through technical report writing and oral presentation.",,pending
"The purpose of IE4102 Independent Study is to promote self-study, critical thinking and independent research abilities. The project, which must be relevant to industrial and systems engineering, are proposed by the students and must be approved by the Department Coordinator. Students identify a Department of Industrial and Systems Engineering staff member who is willing to oversee the projects and obtain their approval before submitting the proposal for consideration.",,pending
"This course provides a holistic overview of operations and analytics in online retailing. For operations, we cover strategic choices on retail business models and operational decisions both on the demand side (promotional campaigns and recommendation systems) and on the supply side (supply chain planning and order fulfilment). We discuss the practical challenges, the key decision processes, the associated trade-offs, the evaluation metrics, and the AI-powered solutions. For analytics, the course focus on a synthesised dataset that simulates an end-to-end online retailing environment. This course will help to enhance the understanding of the practical contexts and provide hands-on experiences on making data-driven decisions.",,pending
"This course builds upon IE2110 to introduce students to more basic concepts of operations research. Topics include integer programming, mixed integer programming, dynamic programming, and heuristic methods. Besides the basic concepts, students will also learn how to use MATLAB CVX or Python CVXPY toolbox integer and mixed integer programmes encountered in complex real-world problems.",,pending
